seed,n_cells,n_bins,n_clones,lamda,n_chrom,dist_method,tree_method,quartet_distance,rf_distance,transfer_distance,triplet_distance,rootsplit_distance
3,50,1000,6,2,10,med2,srnj1,0.2288,0.6667,1.2292,0.2921,0.1000
3,50,1000,6,2,10,sconce2,srnj,0.3027,0.6250,1.8333,0.4289,0.0000
3,50,1000,6,2,10,med2,srnj,0.2400,0.7292,1.5833,0.3227,0.0000
3,50,1000,6,2,10,sconce2,srnjmaxlca,0.3962,0.7500,2.0208,0.4013,0.5000
3,50,1000,6,2,10,med2,srnjmaxlca,0.3219,0.7917,1.9792,0.3447,0.3000
4,20,1000,6,2,10,sconce2,nj,0.0000,0.0000,0.0000,0.0000,0.0000
4,20,1000,6,2,10,med2,nj,0.0000,0.0000,0.0000,0.0000,0.0000
4,20,1000,6,2,10,sconce2,snj,0.0291,0.1111,0.1111,0.0098,0.0000
4,20,1000,6,2,10,med2,snj,0.0287,0.1667,0.1667,0.0083,0.0000
4,20,1000,6,2,10,sconce2,rnj,0.0929,0.2222,0.2778,0.0331,0.0000
4,20,1000,6,2,10,med2,rnj,0.0000,0.0000,0.0000,0.0000,0.0000
4,20,1000,6,2,10,sconce2,anj,0.0057,0.0556,0.0556,0.0015,0.0000
4,20,1000,6,2,10,med2,anj,0.0000,0.0000,0.0000,0.0000,0.0000
4,20,1000,6,2,10,sconce2,fastme,0.0000,0.0000,0.0000,0.0000,0.0000
4,20,1000,6,2,10,med2,fastme,0.0000,0.0000,0.0000,0.0000,0.0000
4,20,1000,6,2,10,sconce2,srnj1,0.0929,0.2222,0.2778,0.0331,0.0000
4,20,1000,6,2,10,med2,srnj1,0.0150,0.0556,0.0556,0.0045,0.0000
4,20,1000,6,2,10,sconce2,srnj,0.0886,0.2222,0.2778,0.0316,0.0000
4,20,1000,6,2,10,med2,srnj,0.0150,0.0556,0.0556,0.0045,0.0000
4,20,1000,6,2,10,sconce2,srnjmaxlca,0.0929,0.2222,0.2778,0.0331,0.0000
4,20,1000,6,2,10,med2,srnjmaxlca,0.0000,0.0000,0.0000,0.0000,0.0000
4,50,1000,6,2,10,sconce2,nj,0.0896,0.2917,0.5833,0.1449,0.0000
4,50,1000,6,2,10,med2,nj,0.0900,0.2917,0.5833,0.1450,0.0000
4,50,1000,6,2,10,sconce2,snj,0.0890,0.3750,0.7708,0.0310,0.0000
4,50,1000,6,2,10,med2,snj,0.1250,0.4167,0.8542,0.1327,0.0000
4,50,1000,6,2,10,sconce2,rnj,0.0912,0.3333,0.6458,0.1453,0.0000
4,50,1000,6,2,10,med2,rnj,0.0901,0.3125,0.6042,0.1450,0.0000
4,50,1000,6,2,10,sconce2,anj,0.0904,0.3125,0.6250,0.1451,0.0000
4,50,1000,6,2,10,med2,anj,0.0901,0.3125,0.6042,0.1450,0.0000
