n_cells,seed,method,est_time,num_calls
100,17,srnj,325.83535633,3258
100,17,srnj_maxlca,344.93690792,3449
100,17,snj,464.80222338,4647
100,18,nj,495.01821321,4950
100,18,dlca_nj,495.00408050,4950
100,18,srnj1,105.13251421,1051
100,18,srnj,299.03520287,2990
100,18,srnj_maxlca,300.43544937,3004
100,18,snj,457.80346625,4577
100,19,nj,495.01979375,4950
100,19,dlca_nj,495.00360154,4950
100,19,srnj1,100.93242233,1009
100,19,srnj,294.13504071,2941
100,19,srnj_maxlca,289.73559529,2897
100,19,snj,460.10205567,4600
200,0,nj,1990.06155071,19900
200,0,dlca_nj,1990.00836838,19900
200,0,srnj1,270.69172600,2706
200,0,srnj,1118.41353675,11183
200,0,srnj_maxlca,1031.60919508,10315
200,0,snj,1762.42702204,17621
200,1,nj,1990.49944525,19900
200,1,dlca_nj,1990.00958392,19900
200,1,srnj1,270.09576892,2700
200,1,srnj,1048.41016133,10483
200,1,srnj_maxlca,1067.71419300,10676
200,1,snj,1763.83523413,17635
200,2,nj,1990.06466829,19900
200,2,dlca_nj,1990.00796417,19900
200,2,srnj1,245.68284383,2456
200,2,srnj,1013.60413287,10135
200,2,srnj_maxlca,1014.30279258,10142
200,2,snj,1783.73809358,17834
200,3,nj,1990.06345908,19900
200,3,dlca_nj,1990.00824487,19900
200,3,srnj1,264.49027008,2644
200,3,srnj,974.81067342,9747
200,3,srnj_maxlca,966.40677400,9663
200,3,snj,1775.33398696,17750
200,4,nj,1990.07671183,19900
200,4,dlca_nj,1990.01227742,19900
200,4,srnj1,268.59579296,2685
200,4,srnj,1056.11530325,10560
200,4,srnj_maxlca,938.71143421,9386
200,4,snj,1777.94188846,17776
200,5,nj,1990.06102817,19900
200,5,dlca_nj,1990.00841546,19900
200,5,srnj1,259.38674808,2593
200,5,srnj,945.80491742,9457
200,5,srnj_maxlca,943.50419042,9434
200,5,snj,1774.73316946,17744
200,6,nj,1990.08746229,19900
200,6,dlca_nj,1990.00883242,19900
200,6,srnj1,253.18693479,2531
200,6,srnj,970.90238246,9708
200,6,srnj_maxlca,908.60377150,9085
200,6,snj,1750.22920050,17499
200,7,nj,1990.06090208,19900
200,7,dlca_nj,1990.00833479,19900
200,7,srnj1,252.58338863,2525
200,7,srnj,924.50815313,9244
200,7,srnj_maxlca,983.71426554,9835
200,7,snj,1787.53972433,17872
200,8,nj,1990.06115129,19900
200,8,dlca_nj,1990.00818100,19900
