n_cells,seed,strategy,correct_A,correct_B,correct_pair,correct_direction,total_decisions,pair_accuracy,side_accuracy,direction_accuracy
100,13,nll,433,443,400,476,476,0.8403361344537815,0.9201680672268907,1.0
100,13,nll_max_lca,485,487,476,496,496,0.9596774193548387,0.9798387096774194,1.0
100,14,gt_min,486,486,486,486,486,1.0,1.0,1.0
100,14,gt_max_lca,471,471,471,471,471,1.0,1.0,1.0
100,14,hamming,423,414,355,488,488,0.7274590163934426,0.8575819672131147,1.0
100,14,hamming_max_lca,420,428,379,469,469,0.8081023454157783,0.9040511727078892,1.0
100,14,nll,438,433,396,479,479,0.826722338204593,0.9091858037578288,1.0
100,14,nll_max_lca,465,476,457,484,484,0.9442148760330579,0.9721074380165289,1.0
100,15,gt_min,475,475,475,475,475,1.0,1.0,1.0
100,15,gt_max_lca,483,483,483,483,483,1.0,1.0,1.0
100,15,hamming,400,416,355,464,464,0.7650862068965517,0.8793103448275862,1.0
100,15,hamming_max_lca,425,455,398,482,482,0.8257261410788381,0.9128630705394191,1.0
100,15,nll,461,456,427,491,491,0.869653767820774,0.9338085539714868,1.0
100,15,nll_max_lca,466,469,455,480,480,0.9479166666666666,0.9739583333333334,1.0
100,16,gt_min,495,495,495,495,495,1.0,1.0,1.0
100,16,gt_max_lca,456,456,456,456,456,1.0,1.0,1.0
100,16,hamming,446,441,400,486,491,0.814663951120163,0.9032586558044806,0.9898167006109979
100,16,hamming_max_lca,423,452,391,484,484,0.8078512396694215,0.9039256198347108,1.0
100,16,nll,438,437,396,484,484,0.8181818181818182,0.9039256198347108,1.0
100,16,nll_max_lca,466,461,452,475,475,0.9515789473684211,0.9757894736842105,1.0
100,17,gt_min,490,490,490,490,490,1.0,1.0,1.0
100,17,gt_max_lca,484,484,484,484,484,1.0,1.0,1.0
100,17,hamming,422,416,365,474,479,0.7620041753653445,0.8747390396659708,0.9895615866388309
100,17,hamming_max_lca,430,425,381,470,474,0.8037974683544303,0.9018987341772152,0.9915611814345991
100,17,nll,422,450,391,484,484,0.8078512396694215,0.9008264462809917,1.0
100,17,nll_max_lca,479,470,461,488,488,0.944672131147541,0.9723360655737705,1.0
100,18,gt_min,469,469,469,469,469,1.0,1.0,1.0
100,18,gt_max_lca,489,489,489,489,489,1.0,1.0,1.0
100,18,hamming,403,440,361,488,488,0.7397540983606558,0.8637295081967213,1.0
100,18,hamming_max_lca,440,429,394,475,475,0.8294736842105264,0.9147368421052632,1.0
100,18,nll,444,449,412,465,481,0.8565488565488566,0.9282744282744283,0.9667359667359667
100,18,nll_max_lca,462,468,457,473,473,0.9661733615221987,0.9830866807610994,1.0
100,19,gt_min,497,497,497,497,497,1.0,1.0,1.0
100,19,gt_max_lca,476,476,476,476,476,1.0,1.0,1.0
100,19,hamming,377,436,346,477,477,0.7253668763102725,0.8522012578616353,1.0
100,19,hamming_max_lca,428,430,383,475,475,0.8063157894736842,0.9031578947368422,1.0
